ID_transcript	Chr	Origin	Start	End	Strand	ID_Gene	Class_code	Exons	Length	GC	CPC2	CPAT	FEELnc	SwissProt	Pfam	ORF.80	ORF.100	ORF.120	RNAcentral_rRNA	RNAcentral_tRNA	RNAcentral_snRNA	RNAcentral_snoRNA	miRBase	PmiREN	CANTATAdb	PLncDB	GreeNC	Ns	CGAT	Significance_level	ID
MSTRG.10068.2	chr2	StringTie	20906042	20907732	+	MSTRG.10068	x	3	1170	39.8290598290598	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	CSA-LNC31
MSTRG.10074.1	chr2	StringTie	20959260	20960207	-	MSTRG.10074	x	2	811	39.3341553637485	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	CSA-LNC32
MSTRG.10079.6	chr2	StringTie	20988152	20991076	+	MSTRG.10079	x	2	806	37.8411910669975	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC34
MSTRG.1008.24	chr1	StringTie	4212429	4212847	+	MSTRG.1008	i	2	376	32.9787234042553	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC35
MSTRG.10082.1	chr2	StringTie	20867840	20868220	+	MSTRG.10082	i	2	238	45.7983193277311	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC36
MSTRG.10083.1	chr2	StringTie	20871270	20872536	+	MSTRG.10083	x	2	1048	39.4083969465649	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC37
MSTRG.10085.22	chr2	StringTie	20999174	20999515	+	MSTRG.10085	i	2	238	33.1932773109244	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC38
MSTRG.10091.1	chr2	StringTie	21061343	21061670	+	MSTRG.10091	u	2	261	41.7624521072797	NC	NC	NC	C	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	Medium	CSA-LNC39
MSTRG.10092.1	chr2	StringTie	21057338	21058531	-	MSTRG.10092	x	1	1194	38.6934673366834	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC40
MSTRG.10094.3	chr2	StringTie	21063611	21065808	-	MSTRG.10094	o	2	557	34.4703770197487	NC	NC	NC	C	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	Medium	CSA-LNC41
MSTRG.10095.1	chr2	StringTie	21073588	21074593	+	MSTRG.10095	u	2	765	35.5555555555556	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	CSA-LNC42
MSTRG.10096.1	chr2	StringTie	21075412	21075658	+	MSTRG.10096	u	1	247	25.1012145748988	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	CSA-LNC44
MSTRG.10098.1	chr2	StringTie	21079696	21080800	-	MSTRG.10098	u	2	1016	33.4645669291339	C	NC	NC	NC	C	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	Low	CSA-LNC45
MSTRG.101.7	chr1	StringTie	414913	417114	-	MSTRG.101	u	2	361	41.5512465373961	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC47
MSTRG.10100.1	chr2	StringTie	21046817	21051201	+	MSTRG.10100	x	3	1515	40.1320132013201	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	High	CSA-LNC48
MSTRG.10101.1	chr2	StringTie	21047085	21047501	-	MSTRG.10101	i	2	253	32.8063241106719	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC54
MSTRG.10103.1	chr2	StringTie	21114999	21115896	+	MSTRG.10103	i	3	406	37.4384236453202	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC55
MSTRG.1011.2	chr1	StringTie	4237529	4239701	-	MSTRG.1011	o	2	1413	37.5796178343949	NC	NC	C	NC	NC	YES	YES	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	Medium	CSA-LNC57
MSTRG.10112.1	chr2	StringTie	21146140	21146481	+	MSTRG.10112	u	2	260	34.2307692307692	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC62
MSTRG.10116.1	chr2	StringTie	21188224	21188453	-	MSTRG.10116	u	1	230	34.3478260869565	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC63
MSTRG.10119.1	chr2	StringTie	21159572	21164083	-	MSTRG.10119	x	3	3515	39.6586059743954	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC64
MSTRG.10124.1	chr2	StringTie	21195394	21195963	+	MSTRG.10124	x	2	461	40.5639913232104	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	High	CSA-LNC67
MSTRG.10126.1	chr2	StringTie	21200470	21201545	+	MSTRG.10126	x	1	1076	36.8959107806691	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	High	CSA-LNC68
MSTRG.10127.1	chr2	StringTie	21220137	21220366	+	MSTRG.10127	u	1	230	27.3913043478261	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC69
MSTRG.10128.1	chr2	StringTie	21212584	21213033	+	MSTRG.10128	u	1	450	37.7777777777778	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC70
MSTRG.10131.1	chr2	StringTie	21216425	21217010	-	MSTRG.10131	u	1	586	33.7883959044369	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC71
MSTRG.10133.1	chr2	StringTie	21230067	21230310	+	MSTRG.10133	u	1	244	40.9836065573771	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC72
MSTRG.10138.1	chr2	StringTie	21236091	21236437	+	MSTRG.10138	x	2	266	44.7368421052632	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC73
MSTRG.1014.1	chr1	StringTie	4245563	4245788	-	MSTRG.1014	u	1	226	48.6725663716814	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC74
MSTRG.10146.1	chr2	StringTie	21277719	21278931	-	MSTRG.10146	x	1	1213	38.3347073371805	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	CSA-LNC75
MSTRG.10154.1	chr2	StringTie	21306751	21307533	-	MSTRG.10154	x	2	503	37.9721669980119	NC	C	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	CSA-LNC76
MSTRG.10155.1	chr2	StringTie	21308170	21308776	-	MSTRG.10155	x	2	364	33.5164835164835	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC77
MSTRG.10159.1	chr2	StringTie	21337229	21337576	-	MSTRG.10159	u	1	348	30.4597701149425	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC79
MSTRG.1016.1	chr1	StringTie	4277423	4277683	+	MSTRG.1016	x	1	261	30.6513409961686	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC80
MSTRG.10161.1	chr2	StringTie	21316569	21317395	+	MSTRG.10161	x	1	827	37.1221281741233	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC81
MSTRG.10164.1	chr2	StringTie	21351440	21351745	+	MSTRG.10164	u	1	306	30.718954248366	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC82
MSTRG.10170.1	chr2	StringTie	21371917	21373363	+	MSTRG.10170	u	2	258	41.8604651162791	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC83
MSTRG.10171.8	chr2	StringTie	21378428	21380068	-	MSTRG.10171	o	2	1516	41.0290237467018	C	NC	NC	C	C	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Low	CSA-LNC84
MSTRG.10173.1	chr2	StringTie	21391291	21391939	-	MSTRG.10173	x	2	352	35.5113636363636	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC85
MSTRG.10174.1	chr2	StringTie	21433464	21433688	-	MSTRG.10174	u	1	225	26.2222222222222	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC86
MSTRG.10175.1	chr2	StringTie	21435935	21436140	-	MSTRG.10175	u	1	206	32.5242718446602	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC87
MSTRG.10180.1	chr2	StringTie	21438714	21438954	-	MSTRG.10180	x	1	241	39.0041493775934	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC88
MSTRG.10188.2	chr2	StringTie	21505629	21506764	-	MSTRG.10188	o	2	1041	39.5773294908742	NC	NC	C	C	C	YES	YES	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	Low	CSA-LNC89
MSTRG.10190.1	chr2	StringTie	21507128	21508693	+	MSTRG.10190	x	2	553	40.6871609403255	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	High	CSA-LNC90
MSTRG.10191.8	chr2	StringTie	21510149	21511312	+	MSTRG.10191	o	2	1073	31.780055917987	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	High	CSA-LNC91
MSTRG.10194.1	chr2	StringTie	21477884	21481689	-	MSTRG.10194	x	4	831	40.4332129963899	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC92
MSTRG.10197.1	chr2	StringTie	21501910	21502158	+	MSTRG.10197	u	1	249	24.8995983935743	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC93
MSTRG.10198.1	chr2	StringTie	21502282	21502638	-	MSTRG.10198	u	1	357	28.2913165266106	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC94
MSTRG.102.1	chr1	StringTie	415912	416274	+	MSTRG.102	u	2	215	35.3488372093023	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC95
MSTRG.10201.1	chr2	StringTie	21541579	21545016	-	MSTRG.10201	u	3	802	36.0349127182045	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	High	CSA-LNC96
MSTRG.10202.1	chr2	StringTie	21519109	21519354	-	MSTRG.10202	u	1	246	29.2682926829268	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC99
MSTRG.10205.1	chr2	StringTie	21521003	21523184	-	MSTRG.10205	x	2	1672	40.9688995215311	NC	NC	NC	NC	NC	YES	YES	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC100
MSTRG.10206.1	chr2	StringTie	21526134	21528317	-	MSTRG.10206	x	2	2154	34.7725162488394	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC101
MSTRG.10207.2	chr2	StringTie	21529583	21530031	-	MSTRG.10207	x	2	307	38.1107491856677	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC102
MSTRG.10208.1	chr2	StringTie	21560712	21561397	+	MSTRG.10208	u	1	686	25.5102040816327	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC103
MSTRG.10210.1	chr2	StringTie	21557859	21560488	+	MSTRG.10210	x	3	2353	37.6115597110072	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC104
MSTRG.10213.1	chr2	StringTie	21616555	21617855	+	MSTRG.10213	u	1	1301	35.8954650269024	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC105
MSTRG.10215.1	chr2	StringTie	21620633	21620865	-	MSTRG.10215	u	1	233	43.3476394849785	NC	NC	NC	C	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	CSA-LNC106
MSTRG.10217.1	chr2	StringTie	21604763	21605041	+	MSTRG.10217	x	1	279	42.2939068100358	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC107
MSTRG.10218.3	chr2	StringTie	21622317	21625846	-	MSTRG.10218	x	3	1006	50.0994035785288	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC110
MSTRG.10219.2	chr2	StringTie	21625252	21626318	+	MSTRG.10219	o	2	804	45.273631840796	NC	NC	C	NC	NC	YES	YES	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	CSA-LNC115
MSTRG.10223.1	chr2	StringTie	21630695	21630953	-	MSTRG.10223	x	1	259	35.9073359073359	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC118
MSTRG.10224.3	chr2	StringTie	21635433	21637237	-	MSTRG.10224	o	2	868	42.9723502304147	NC	NC	C	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	CSA-LNC119
MSTRG.1023.1	chr1	StringTie	4182883	4186207	-	MSTRG.1023	u	5	730	36.5753424657534	C	NC	NC	C	C	YES	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Low	CSA-LNC120
MSTRG.10236.8	chr2	StringTie	21684020	21684911	-	MSTRG.10236	x	3	822	36.1313868613139	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	High	CSA-LNC122
MSTRG.10238.1	chr2	StringTie	21683448	21683667	+	MSTRG.10238	x	1	220	36.3636363636364	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC123
MSTRG.1024.2	chr1	StringTie	4189058	4189471	+	MSTRG.1024	x	2	279	38.7096774193548	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC124
MSTRG.10241.6	chr2	StringTie	21698228	21698675	+	MSTRG.10241	i	2	297	32.3232323232323	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC125
MSTRG.10248.1	chr2	StringTie	21733165	21733386	+	MSTRG.10248	x	1	222	33.3333333333333	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC126
MSTRG.10250.1	chr2	StringTie	21705632	21707063	-	MSTRG.10250	x	1	1432	39.2458100558659	NC	NC	C	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	Medium	CSA-LNC127
MSTRG.10256.1	chr2	StringTie	21763303	21766520	+	MSTRG.10256	x	2	2647	40.4608991310918	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	High	CSA-LNC128
MSTRG.10260.1	chr2	StringTie	21744193	21744499	+	MSTRG.10260	i	2	231	37.2294372294372	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC129
MSTRG.10267.1	chr2	StringTie	21793168	21797356	-	MSTRG.10267	x	5	2643	37.4574347332577	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	NO	YES	0	non-redundant	High	CSA-LNC130
MSTRG.10271.1	chr2	StringTie	21831511	21833262	+	MSTRG.10271	i	3	1330	36.390977443609	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	High	CSA-LNC136
MSTRG.10272.3	chr2	StringTie	21836764	21840228	+	MSTRG.10272	i	2	1202	40.1830282861897	NC	NC	NC	NC	NC	YES	YES	YES	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC140
MSTRG.10277.1	chr2	StringTie	21941206	21941561	-	MSTRG.10277	i	2	308	31.1688311688312	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC143
MSTRG.10278.2	chr2	StringTie	21948109	21950306	-	MSTRG.10278	x	2	2061	40.4657933042213	NC	NC	NC	NC	NC	YES	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC144
MSTRG.10280.3	chr2	StringTie	21981353	21982443	+	MSTRG.10280	o	2	1062	40.8662900188324	C	NC	NC	C	C	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	YES	0	non-redundant	Low	CSA-LNC145
MSTRG.10286.2	chr2	StringTie	21854082	21861617	+	MSTRG.10286	x	2	201	45.273631840796	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC146
MSTRG.10289.1	chr2	StringTie	21871427	21873532	+	MSTRG.10289	i	1	2106	36.9895536562203	NC	NC	NC	C	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	YES	0	non-redundant	Medium	CSA-LNC147
MSTRG.10295.1	chr2	StringTie	22116258	22116553	-	MSTRG.10295	u	1	296	27.3648648648649	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC148
MSTRG.10300.1	chr2	StringTie	22014143	22014385	-	MSTRG.10300	i	1	243	34.9794238683128	NC	NC	C	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Medium	CSA-LNC149
MSTRG.10308.2	chr2	StringTie	22051817	22053751	-	MSTRG.10308	x	2	1849	41.7522985397512	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	YES	YES	NO	0	non-redundant	High	CSA-LNC150
MSTRG.10310.1	chr2	StringTie	22072679	22075729	+	MSTRG.10310	x	2	2205	42.9478458049887	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	CSA-LNC151
MSTRG.10311.1	chr2	StringTie	22077675	22078039	-	MSTRG.10311	x	1	365	26.027397260274	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC152
MSTRG.10313.1	chr2	StringTie	22078118	22079607	-	MSTRG.10313	x	2	503	39.7614314115308	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC153
MSTRG.10315.4	chr2	StringTie	22085280	22086930	-	MSTRG.10315	u	3	938	34.861407249467	NC	NC	NC	NC	NC	YES	YES	NO	NA	NA	NA	NA	NA	NA	YES	NO	NO	0	non-redundant	High	CSA-LNC155
MSTRG.10316.1	chr2	StringTie	22091605	22091953	+	MSTRG.10316	i	2	315	28.8888888888889	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC156
MSTRG.10320.1	chr2	StringTie	22096755	22097198	+	MSTRG.10320	i	2	214	33.1775700934579	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC157
MSTRG.10328.1	chr2	StringTie	22125558	22125984	-	MSTRG.10328	x	2	201	41.2935323383085	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC158
MSTRG.10333.1	chr2	StringTie	22139330	22139691	-	MSTRG.10333	u	2	209	36.3636363636364	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC159
MSTRG.10335.1	chr2	StringTie	22145610	22147416	+	MSTRG.10335	i	2	410	36.0975609756098	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC160
MSTRG.10337.1	chr2	StringTie	22150132	22150672	+	MSTRG.10337	x	1	541	35.8595194085028	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC161
MSTRG.10339.1	chr2	StringTie	22171891	22174024	-	MSTRG.10339	o	2	1989	36.7521367521367	C	NC	C	NC	C	YES	YES	YES	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	Low	CSA-LNC162
MSTRG.10347.1	chr2	StringTie	22204711	22205768	+	MSTRG.10347	x	1	1058	39.1304347826087	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC164
MSTRG.10359.1	chr2	StringTie	22255695	22256301	+	MSTRG.10359	i	2	516	40.3100775193798	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	NO	NO	0	non-redundant	High	CSA-LNC165
MSTRG.10368.1	chr2	StringTie	22259008	22259744	+	MSTRG.10368	x	2	231	50.6493506493507	NC	NC	NC	NC	NC	NO	NO	NO	NA	NA	NA	NA	NA	NA	NO	YES	NO	0	non-redundant	High	CSA-LNC166
