Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. melo	SRR12405274	passes the trimming step	not used for transcript reconstruction	21768820/21768820	35.1734%	IU
C. melo	SRR12405275	passes the trimming step	not used for transcript reconstruction	22963853/22963853	33.9482%	IU
C. melo	SRR12405276	passes the trimming step	not used for transcript reconstruction	18937344/18937344	33.7483%	IU
C. melo	SRR12470628	passes the trimming step	not used for transcript reconstruction	77985066/77985066	82.9303%	IU
C. melo	SRR12470629	passes the trimming step	not used for transcript reconstruction	75292988/75292988	84.1943%	IU
C. melo	SRR12470630	passes the trimming step	not used for transcript reconstruction	78569648/78569648	83.1064%	IU
C. melo	SRR12470631	passes the trimming step	not used for transcript reconstruction	84302467/84302467	84.0177%	IU
C. melo	SRR1278761	passes the trimming step	not used for transcript reconstruction	25529470/25529470	81.8713%	IU
C. melo	SRR1282421	passes the trimming step	not used for transcript reconstruction	32846047/32846047	84.3764%	IU
C. melo	SRR1284225	passes the trimming step	not used for transcript reconstruction	36417013/36417013	79.2844%	IU
C. melo	SRR1284226	passes the trimming step	not used for transcript reconstruction	40647485/40647485	80.784%	IU
C. melo	SRR1284227	passes the trimming step	not used for transcript reconstruction	30754128/30754128	82.2297%	IU
C. melo	SRR1284228	passes the trimming step	not used for transcript reconstruction	34916657/34916657	78.7134%	IU
C. melo	SRR13180975	passes the trimming step	used for transcript reconstruction	44543874/44543874	41.8004%	ISR
C. melo	SRR13180976	passes the trimming step	used for transcript reconstruction	65803737/65803737	55.3109%	ISR
C. melo	SRR13180977	passes the trimming step	used for transcript reconstruction	39468829/39468829	51.1212%	ISR
C. melo	SRR13180978	passes the trimming step	used for transcript reconstruction	34924919/34924919	47.7668%	ISR
C. melo	SRR13180979	passes the trimming step	used for transcript reconstruction	42736386/42736386	53.7461%	ISR
C. melo	SRR13180980	passes the trimming step	used for transcript reconstruction	59602361/59602361	55.1746%	ISR
C. melo	SRR13180981	passes the trimming step	used for transcript reconstruction	41508749/41508749	53.7889%	ISR
C. melo	SRR13180982	passes the trimming step	used for transcript reconstruction	52813431/52813431	47.1603%	ISR
C. melo	SRR13180983	passes the trimming step	used for transcript reconstruction	63144213/63144213	52.955%	ISR
C. melo	SRR13180984	passes the trimming step	used for transcript reconstruction	73086507/73086507	48.4045%	ISR
C. melo	SRR13180985	passes the trimming step	used for transcript reconstruction	42045198/42045198	48.0142%	ISR
C. melo	SRR13180986	passes the trimming step	used for transcript reconstruction	39638652/39638652	52.3137%	ISR
C. melo	SRR1334838	passes the trimming step	not used for transcript reconstruction	25529470/25529470	81.8713%	IU
C. melo	SRR1334843	passes the trimming step	not used for transcript reconstruction	25247904/25247904	83.9265%	IU
C. melo	SRR1334844	passes the trimming step	not used for transcript reconstruction	29187774/29187774	83.9213%	IU
C. melo	SRR1334911	passes the trimming step	not used for transcript reconstruction	33708045/33708045	84.5837%	IU
C. melo	SRR1334912	passes the trimming step	not used for transcript reconstruction	32155666/32155666	84.1824%	IU
C. melo	SRR1334916	passes the trimming step	not used for transcript reconstruction	35077229/35077229	83.2641%	IU
C. melo	SRR1334917	passes the trimming step	not used for transcript reconstruction	39246288/39246288	83.0727%	IU
C. melo	SRR1334918	passes the trimming step	not used for transcript reconstruction	24267855/24267855	83.9069%	IU
C. melo	SRR1335731	passes the trimming step	not used for transcript reconstruction	22580135/22580135	82.9151%	IU
C. melo	SRR1335732	passes the trimming step	not used for transcript reconstruction	22780410/22780410	83.9959%	IU
C. melo	SRR1335733	passes the trimming step	not used for transcript reconstruction	44364028/44364028	84.6228%	IU
C. melo	SRR13380185	passes the trimming step	not used for transcript reconstruction	16435101	78.7944%	U
C. melo	SRR13380186	passes the trimming step	not used for transcript reconstruction	14404617	81.6512%	U
C. melo	SRR13380187	passes the trimming step	not used for transcript reconstruction	13351234	82.9338%	U
C. melo	SRR13380188	passes the trimming step	not used for transcript reconstruction	17164684	80.0645%	U
C. melo	SRR13380189	passes the trimming step	not used for transcript reconstruction	14385141	82.8467%	U
C. melo	SRR13380190	passes the trimming step	not used for transcript reconstruction	16308032	80.6294%	U
C. melo	SRR13380191	passes the trimming step	not used for transcript reconstruction	9880368	68.6562%	U
C. melo	SRR13380192	passes the trimming step	not used for transcript reconstruction	9773744	71.5352%	U
C. melo	SRR13380193	passes the trimming step	not used for transcript reconstruction	12575904	82.4334%	U
C. melo	SRR13380194	passes the trimming step	not used for transcript reconstruction	11640716	80.7281%	U
C. melo	SRR13380195	passes the trimming step	not used for transcript reconstruction	10387902	64.6099%	U
C. melo	SRR13380196	passes the trimming step	not used for transcript reconstruction	16689244	55.4326%	U
C. melo	SRR13380197	passes the trimming step	not used for transcript reconstruction	9123401	44.7546%	U
C. melo	SRR13380198	passes the trimming step	not used for transcript reconstruction	17836158	47.658%	U
C. melo	SRR13380199	passes the trimming step	not used for transcript reconstruction	9949424	84.1165%	U
C. melo	SRR13380200	passes the trimming step	not used for transcript reconstruction	21539172	83.327%	U
C. melo	SRR1342450	passes the trimming step	not used for transcript reconstruction	32364236/32364236	84.5932%	IU
C. melo	SRR1342451	passes the trimming step	not used for transcript reconstruction	43574372/43574372	84.7499%	IU
C. melo	SRR1342452	passes the trimming step	not used for transcript reconstruction	34728398/34728398	83.5278%	IU
C. melo	SRR1342454	passes the trimming step	not used for transcript reconstruction	33503784/33503784	83.4582%	IU
C. melo	SRR1342455	passes the trimming step	not used for transcript reconstruction	27745644/27745644	83.8437%	IU
C. melo	SRR1342457	passes the trimming step	not used for transcript reconstruction	16268681/16268681	83.9505%	IU
C. melo	SRR1346109	passes the trimming step	not used for transcript reconstruction	13079385/13079385	83.2213%	IU
C. melo	SRR1346110	passes the trimming step	not used for transcript reconstruction	20207361/20207361	83.0861%	IU
C. melo	SRR1346111	passes the trimming step	not used for transcript reconstruction	9824338/9824338	82.4262%	IU
C. melo	SRR1346112	passes the trimming step	not used for transcript reconstruction	9101896/9101896	81.2722%	IU
C. melo	SRR1346114	passes the trimming step	not used for transcript reconstruction	13640125/13640125	81.802%	IU
C. melo	SRR1346115	passes the trimming step	not used for transcript reconstruction	15357967/15357967	83.1008%	IU
C. melo	SRR1346116	passes the trimming step	not used for transcript reconstruction	13611804/13611804	83.5566%	IU
C. melo	SRR1346117	passes the trimming step	not used for transcript reconstruction	13571825/13571825	81.4318%	IU
C. melo	SRR1346118	passes the trimming step	not used for transcript reconstruction	14167680/14167680	81.4262%	IU
C. melo	SRR1346119	passes the trimming step	not used for transcript reconstruction	12807265/12807265	81.4913%	IU
C. melo	SRR1346212	passes the trimming step	not used for transcript reconstruction	12762243/12762243	82.3573%	IU
C. melo	SRR1346213	passes the trimming step	not used for transcript reconstruction	13100584/13100584	80.5113%	IU
C. melo	SRR14366649	passes the trimming step	not used for transcript reconstruction	28975978/28975978	81.7607%	IU
C. melo	SRR14366650	passes the trimming step	not used for transcript reconstruction	17776953/17776953	81.161%	IU
C. melo	SRR14366651	passes the trimming step	not used for transcript reconstruction	17034050/17034050	80.8439%	IU
C. melo	SRR14366652	passes the trimming step	not used for transcript reconstruction	19138791/19138791	80.5235%	IU
C. melo	SRR14366653	passes the trimming step	not used for transcript reconstruction	19719815/19719815	81.1182%	IU
C. melo	SRR14366654	passes the trimming step	not used for transcript reconstruction	16771524/16771524	82.5845%	IU
C. melo	SRR14366655	passes the trimming step	not used for transcript reconstruction	20585562/20585562	83.0461%	IU
C. melo	SRR14366656	passes the trimming step	not used for transcript reconstruction	20941481/20941481	82.7753%	IU
C. melo	SRR14366657	passes the trimming step	not used for transcript reconstruction	20710710/20710710	82.1204%	IU
C. melo	SRR14366658	passes the trimming step	not used for transcript reconstruction	23650457/23650457	82.0568%	IU
C. melo	SRR14803590	passes the trimming step	used for transcript reconstruction	16144463/16144463	91.1531%	ISF
C. melo	SRR14803591	passes the trimming step	used for transcript reconstruction	22479971/22479971	91.8345%	ISF
C. melo	SRR14803592	passes the trimming step	used for transcript reconstruction	35647580/35647580	91.4639%	ISF
C. melo	SRR14803593	passes the trimming step	used for transcript reconstruction	18317183/18317183	80.2306%	ISF
C. melo	SRR14803594	passes the trimming step	used for transcript reconstruction	26106887/26106887	71.1735%	ISF
C. melo	SRR14803595	passes the trimming step	used for transcript reconstruction	15211383/15211383	62.5651%	ISF
C. melo	SRR14803596	passes the trimming step	used for transcript reconstruction	25701765/25701765	72.5055%	ISF
C. melo	SRR14803597	passes the trimming step	used for transcript reconstruction	20473252/20473252	84.9641%	ISF
C. melo	SRR14803598	passes the trimming step	used for transcript reconstruction	20477999/20477999	85.2217%	ISF
C. melo	SRR14803599	passes the trimming step	used for transcript reconstruction	17053056/17053056	46.1525%	ISF
C. melo	SRR14803600	passes the trimming step	used for transcript reconstruction	20990293/20990293	29.9656%	ISF
C. melo	SRR14803601	passes the trimming step	used for transcript reconstruction	18710377/18710377	53.1375%	ISF
C. melo	SRR14803602	passes the trimming step	used for transcript reconstruction	18988206/18988206	85.328%	ISF
C. melo	SRR14803603	passes the trimming step	used for transcript reconstruction	14209341/14209341	83.8073%	ISF
C. melo	SRR14803604	passes the trimming step	used for transcript reconstruction	16129096/16129096	84.8909%	ISF
C. melo	SRR14803605	passes the trimming step	used for transcript reconstruction	17039274/17039274	83.781%	ISF
C. melo	SRR14803606	passes the trimming step	used for transcript reconstruction	24620617/24620617	71.0985%	ISF
C. melo	SRR14803607	passes the trimming step	used for transcript reconstruction	17033393/17033393	57.1936%	ISF
C. melo	SRR14803608	passes the trimming step	used for transcript reconstruction	19715201/19715201	49.3165%	ISF
C. melo	SRR14803609	passes the trimming step	used for transcript reconstruction	20780656/20780656	85.3361%	ISF
C. melo	SRR14803610	passes the trimming step	used for transcript reconstruction	22857592/22857592	57.4337%	ISF
C. melo	SRR14803611	passes the trimming step	used for transcript reconstruction	13456643/13456643	65.4843%	ISF
C. melo	SRR14803612	passes the trimming step	used for transcript reconstruction	8149047/8149047	85.0681%	ISF
C. melo	SRR14803613	passes the trimming step	used for transcript reconstruction	14064372/14064372	77.8684%	ISF
C. melo	SRR14803614	passes the trimming step	used for transcript reconstruction	13705924/13705924	59.3656%	ISF
C. melo	SRR14803615	passes the trimming step	used for transcript reconstruction	10326606/10326606	73.3676%	ISF
C. melo	SRR14803616	passes the trimming step	used for transcript reconstruction	14633089/14633089	80.6939%	ISF
C. melo	SRR16952091	passes the trimming step	used for transcript reconstruction	56647501	87.0424%	SR
C. melo	SRR16952092	passes the trimming step	used for transcript reconstruction	89835646	88.5245%	SR
C. melo	SRR16952093	passes the trimming step	used for transcript reconstruction	83589980	88.5828%	SR
C. melo	SRR16952094	passes the trimming step	used for transcript reconstruction	90348387	89.4855%	SR
C. melo	SRR16952095	passes the trimming step	used for transcript reconstruction	89901716	89.0078%	SR
C. melo	SRR16952096	passes the trimming step	used for transcript reconstruction	85821401	87.6496%	SR
C. melo	SRR16952097	passes the trimming step	used for transcript reconstruction	83787304	76.168%	SR
C. melo	SRR16952098	passes the trimming step	used for transcript reconstruction	85456468	87.8013%	SR
C. melo	SRR16952099	passes the trimming step	used for transcript reconstruction	89768204	85.4463%	SR
C. melo	SRR16952100	passes the trimming step	used for transcript reconstruction	85077566	54.1322%	SR
C. melo	SRR16952101	passes the trimming step	used for transcript reconstruction	91531428	88.4179%	SR
C. melo	SRR16952102	passes the trimming step	used for transcript reconstruction	84401353	88.2472%	SR
C. melo	SRR16952103	passes the trimming step	used for transcript reconstruction	85023117	88.6464%	SR
C. melo	SRR16952104	passes the trimming step	used for transcript reconstruction	91124184	89.167%	SR
C. melo	SRR16952105	passes the trimming step	used for transcript reconstruction	90600752	87.9419%	SR
C. melo	SRR16952106	passes the trimming step	used for transcript reconstruction	90005268	87.8293%	SR
C. melo	SRR16952107	passes the trimming step	used for transcript reconstruction	84426488	88.3891%	SR
C. melo	SRR16952108	passes the trimming step	used for transcript reconstruction	90728194	88.7164%	SR
C. melo	SRR16952109	passes the trimming step	used for transcript reconstruction	84374499	87.0559%	SR
C. melo	SRR16952110	passes the trimming step	used for transcript reconstruction	90237961	88.3025%	SR
C. melo	SRR16952111	passes the trimming step	used for transcript reconstruction	90494152	88.2474%	SR
C. melo	SRR16952112	passes the trimming step	used for transcript reconstruction	87850120	87.518%	SR
C. melo	SRR16952113	passes the trimming step	used for transcript reconstruction	90910690	87.7381%	SR
C. melo	SRR16952114	passes the trimming step	used for transcript reconstruction	83731483	88.4132%	SR
C. melo	SRR16952115	passes the trimming step	used for transcript reconstruction	85981162	88.1608%	SR
C. melo	SRR16952116	passes the trimming step	used for transcript reconstruction	91167827	88.0904%	SR
