Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
M. charantia	SRR11347380	passes the trimming step	used for transcript reconstruction	25518167/25518167	61.6143%	ISR
M. charantia	SRR11347381	passes the trimming step	used for transcript reconstruction	26872626/26872626	45.1341%	ISR
M. charantia	SRR11347382	passes the trimming step	used for transcript reconstruction	26345998/26345998	57.9415%	ISR
M. charantia	SRR11347383	passes the trimming step	used for transcript reconstruction	25726276/25726276	64.3687%	ISR
M. charantia	SRR11347384	passes the trimming step	used for transcript reconstruction	25628160/25628160	62.0251%	ISR
M. charantia	SRR11347385	passes the trimming step	used for transcript reconstruction	25697361/25697361	62.459%	ISR
M. charantia	SRR11573055	passes the trimming step	used for transcript reconstruction	25118161/25118161	61.4287%	ISR
M. charantia	SRR11573056	passes the trimming step	used for transcript reconstruction	19884969/19884969	62.7676%	ISR
M. charantia	SRR13308550	passes the trimming step	not used for transcript reconstruction	20231509/20231509	58.0503%	IU
M. charantia	SRR13308551	passes the trimming step	not used for transcript reconstruction	20404717/20404717	58.4051%	IU
M. charantia	SRR13308552	passes the trimming step	not used for transcript reconstruction	20413930/20413930	55.6768%	IU
M. charantia	SRR13308553	passes the trimming step	not used for transcript reconstruction	20030768/20030768	58.6669%	IU
M. charantia	SRR13308554	passes the trimming step	not used for transcript reconstruction	19789704/19789704	50.1686%	IU
M. charantia	SRR3535137	passes the trimming step	not used for transcript reconstruction	53258692/53258692	66.0033%	IU
M. charantia	SRR3535138	passes the trimming step	not used for transcript reconstruction	51410440/51410440	66.6459%	IU
M. charantia	SRR3535139	passes the trimming step	not used for transcript reconstruction	13593176	67.7882%	U
M. charantia	SRR3535140	passes the trimming step	not used for transcript reconstruction	12982297	67.3288%	U
M. charantia	SRR3535141	passes the trimming step	not used for transcript reconstruction	12993311	67.364%	U
M. charantia	SRR3535142	passes the trimming step	not used for transcript reconstruction	13436075	63.6718%	U
M. charantia	SRR3535143	passes the trimming step	not used for transcript reconstruction	12732176	62.3936%	U
M. charantia	SRR3535144	passes the trimming step	not used for transcript reconstruction	51958828/51958828	68.1808%	IU
M. charantia	SRR3535149	passes the trimming step	not used for transcript reconstruction	46913366/46913366	66.2547%	IU
M. charantia	SRR3535160	passes the trimming step	not used for transcript reconstruction	16327060	68.7441%	U
M. charantia	SRR3535172	passes the trimming step	not used for transcript reconstruction	14003768	69.0494%	U
M. charantia	SRR3535173	passes the trimming step	not used for transcript reconstruction	15793139	70.8063%	U
M. charantia	SRR3535174	passes the trimming step	not used for transcript reconstruction	15571622	70.8857%	U
